"동별(1)",동별(2),동별(3),2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"합계",성동구,사근동,11745,1.11,10581,12574,1.11,11328,12947,1.11,11664,12722,1.11,11461,12812,1.11,11542,13408,1.11,12079,13543,1.1,12312,13512,1.1,12284,13505,1.1,12277.27273,14082,1.1,12802,14141,1.1,12855
"합계",성동구,행당1동,17806,0.59,30180,15553,0.59,26361,15129,0.59,25642,14708,0.59,24929,14387,0.59,24385,16728,0.59,28353,16463,0.59,27903,14363,0.59,24344,14193,0.59,24055.9322,13996,0.59,23722,13984,0.59,23702
"합계",성동구,행당2동,26767,0.42,63731,26399,0.42,62855,26124,0.42,62200,25748,0.42,61305,25423,0.42,60531,25075,0.42,59702,24640,0.42,58667,24151,0.42,57502,23376,0.42,55657.14286,23148,0.42,55114,22933,0.42,54602
"합계",성동구,응봉동,17370,0.57,30474,17158,0.57,30102,17019,0.57,29858,16921,0.57,29686,16696,0.57,29291,16405,0.57,28781,16188,0.57,28400,15824,0.57,27761,15458,0.57,27119.29825,15100,0.57,26491,15000,0.57,26316
"합계",성동구,금호1가동,14823,0.46,32224,14117,0.46,30689,13780,0.46,29957,13419,0.46,29172,13191,0.46,28676,16191,0.46,35198,15954,0.46,34683,15795,0.46,34337,15315,0.46,33293.47826,15137,0.46,32907,14841,0.46,32263
"합계",성동구,금호4가동,15236,0.84,18138,15004,0.84,17862,14771,0.84,17585,14557,0.84,17330,14452,0.84,17205,15488,0.84,18438,15227,0.84,18127,14842,0.84,17669,14452,0.84,17204.7619,14228,0.84,16938,14284,0.84,17005
"합계",성동구,성수1가1동,18161,1.98,9172,17774,1.98,8977,17557,1.98,8867,17231,1.98,8703,17676,1.98,8927,17570,1.98,8874,17168,1.98,8671,16851,1.97,8554,16814,1.97,8535.025381,16407,1.97,8328,15681,1.97,7960
"합계",성동구,성수1가2동,18537,0.89,20828,18111,0.89,20349,17486,0.89,19647,17024,0.89,19128,16413,0.89,18442,15786,0.89,17737,14735,0.89,16556,13738,0.89,15436,12874,0.89,14465.16854,12322,0.89,13845,12134,0.89,13634
"합계",성동구,성수2가1동,20951,1.18,17755,20532,1.18,17400,20080,1.18,17017,19378,1.18,16422,18783,1.18,15918,18317,1.18,15523,17722,1.18,15019,17146,1.17,14655,16279,1.17,13913.67521,15716,1.17,13432,15079,1.17,12888
"합계",성동구,성수2가3동,12431,1.03,12069,12434,1.03,12072,12251,1.03,11894,12142,1.03,11788,12056,1.03,11705,11915,1.03,11568,11682,1.03,11342,11457,1.03,11123,10985,1.03,10665.04854,10520,1.03,10214,10312,1.03,10012
"합계",성동구,송정동,12538,0.68,18438,12292,0.68,18076,12063,0.68,17740,12005,0.68,17654,11987,0.68,17628,11778,0.68,17321,11428,0.75,15237,11143,0.75,14857,10915,0.75,14553.33333,10464,0.75,13952,10131,0.75,13508
"합계",성동구,용답동,17389,2.32,7495,17358,2.32,7482,17207,2.32,7417,17059,2.32,7353,16687,2.32,7193,15659,2.32,6750,13290,2.32,5728,12724,2.31,5508,12568,2.31,5440.692641,12551,2.31,5433,13013,2.31,5633
"합계",성동구,왕십리도선동,12993,0.72,18046,16081,0.72,22335,20808,0.72,28900,22878,0.72,31775,27582,0.72,38308,27853,0.72,38685,27767,0.72,38565,27588,0.72,38317,26910,0.72,37375,26903,0.72,37365,26739,0.72,37138
"합계",성동구,금호2.3가동,23517,0.64,36745,23056,0.64,36025,22962,0.64,35878,25038,0.64,39122,24735,0.64,38648,24467,0.64,38230,24171,0.64,37767,23584,0.64,36850,22909,0.64,35795.3125,22423,0.64,35036,22130,0.64,34578
"합계",성동구,옥수동,23688,1.95,12148,23487,1.95,12045,23281,1.95,11939,24845,1.95,12741,27453,1.95,14078,27518,1.95,14112,27222,1.95,13960,26912,1.94,13872,26309,1.94,13561.34021,25843,1.94,13321,25650,1.94,13222
