NO,기존주소,도로명주소
273,서울특별시 광진구 화양동 23-5,서울특별시 광진구 동일로 174
274,서울특별시 송파구 신천동 17,서울특별시 송파구 올림픽로 435
275,서울특별시 금천구 독산동 1147,서울특별시 금천구 벚꽃로 40
276,서울특별시 광진구 화양동 23-5,서울특별시 광진구 동일로 174
277,서울특별시 강서구 방화동 858,서울특별시 강서구 양천로18길 27
278,서울특별시 금천구 시흥동 949-18,서울특별시 금천구 시흥대로22길 52
279,서울특별시 강서구 방화동 286-1,서울특별시 강서구 양천로23길 8
280,서울특별시 성동구 행당동 380,서울특별시 성동구 고산자로2길 65
281,서울특별시 강남구 대치동 316,서울특별시 강남구 삼성로 212
282,서울특별시 구로구 구로동 110-8,서울특별시 구로구 구로중앙로28다길 16
283,서울특별시 영등포구 당산동4가 99,서울특별시 영등포구 영신로 237
284,서울특별시 관악구 신림동 1639-51,서울특별시 관악구 관천로 38
285,서울특별시 성동구 금호동2가 1,서울특별시 성동구 금호로 173
286,서울특별시 영등포구 양평동4가 Jan-51,서울특별시 영등포구 양평로17길 9
287,서울특별시 노원구 상계동 330-29,서울특별시 노원구 노해로85길 10-55
288,서울특별시 용산구 한강로1가 Jan-50,서울특별시 용산구 한강대로 205
289,서울특별시 양천구 신월동 341-1,서울특별시 양천구 지양로 101
290,서울특별시 노원구 상계동 652,서울특별시 노원구 동일로227길 25
291,서울특별시 구로구 개봉동 270-80,서울특별시 구로구 개봉로15길 91
292,서울특별시 송파구 가락동 913,서울특별시 송파구 송파대로 345
293,서울특별시 동대문구 장안동 336,서울특별시 동대문구 장안벚꽃로 107
294,서울특별시 노원구 상계동 740,서울특별시 노원구 동일로215길 23
295,서울특별시 은평구 역촌동 43-40,서울특별시 은평구 연서로2길 8-4
296,서울특별시 성북구 길음동 1280,서울특별시 성북구 길음로 119
297,서울특별시 강남구 개포동 1281,서울특별시 강남구 삼성로 11
298,서울특별시 중랑구 면목동 715,서울특별시 중랑구 동일로 476
299,서울특별시 광진구 화양동 530,서울특별시 광진구 광나루로20길 17
300,서울특별시 강남구 청담동 33,서울특별시 강남구 삼성로133길 20
301,서울특별시 서대문구 홍제동 307-9,서울특별시 서대문구 통일로39길 25
302,서울특별시 양천구 신정동 327,서울특별시 양천구 목동동로 100
303,서울특별시 송파구 잠실동 35,서울특별시 송파구 잠실로 62
304,서울특별시 강동구 고덕동 693,서울특별시 강동구 고덕로 333
305,서울특별시 중랑구 상봉동 113-1,서울특별시 중랑구 면목로 487
306,서울특별시 노원구 공릉동 748,서울특별시 노원구 동일로191가길 59
307,서울특별시 영등포구 신길동 65-21,서울특별시 영등포구 영등포로 390
308,서울특별시 동대문구 장안동 336,서울특별시 동대문구 장안벚꽃로 107
309,서울특별시 광진구 자양동 227-7,서울특별시 광진구 아차산로 262
310,서울특별시 강동구 고덕동 693,서울특별시 강동구 고덕로 333
311,서울특별시 종로구 숭인동 766,서울특별시 종로구 숭인동길 21
312,서울특별시 강서구 화곡동 1159,서울특별시 강서구 강서로 266
313,서울특별시 강서구 화곡동 1165,서울특별시 강서구 우현로 67
314,서울특별시 강북구 수유동 741,서울특별시 강북구 한천로148길 12-13
315,서울특별시 성동구 하왕십리동 1070,서울특별시 성동구 왕십리로 410
