station_name,line,city,gu,dong,gu_dong
구반포,9호선,서울특별시,서초구,반포동,서초구_반포동
사평,9호선,서울특별시,서초구,반포동,서초구_반포동
신반포,9호선,서울특별시,서초구,반포동,서초구_반포동
방배,2호선,서울특별시,서초구,방배동,서초구_방배동
남태령,4호선,서울특별시,서초구,방배동,서초구_방배동
내방,7호선,서울특별시,서초구,방배동,서초구_방배동
교대(법원.검찰청),2호선,서울특별시,서초구,서초동,서초구_서초동
서초,2호선,서울특별시,서초구,서초동,서초구_서초동
교대(법원.검찰청),3호선,서울특별시,서초구,서초동,서초구_서초동
남부터미널(예술의전당),3호선,서울특별시,서초구,서초동,서초구_서초동
양재(서초구청),3호선,서울특별시,서초구,서초동,서초구_서초동
강남,신분당선,서울특별시,서초구,서초동,서초구_서초동
청계산입구,신분당선,서울특별시,서초구,신원동,서초구_신원동
양재(서초구청),신분당선,서울특별시,서초구,양재동,서초구_양재동
양재시민의숲(매헌),신분당선,서울특별시,서초구,양재동,서초구_양재동
잠원,3호선,서울특별시,서초구,잠원동,서초구_잠원동
신금호,5호선,서울특별시,성동구,금호동1가,성동구_금호동1가
금호,3호선,서울특별시,성동구,금호동4가,성동구_금호동4가
마장,5호선,서울특별시,성동구,마장동,성동구_마장동
용답,2호선,서울특별시,성동구,사근동,성동구_사근동
뚝섬,2호선,서울특별시,성동구,성수동1가,성동구_성수동1가
서울숲,분당선,서울특별시,성동구,성수동1가,성동구_성수동1가
성수,2호선,서울특별시,성동구,성수동2가,성동구_성수동2가
옥수,3호선,서울특별시,성동구,옥수동,성동구_옥수동
옥수,경원선,서울특별시,성동구,옥수동,성동구_옥수동
신답,2호선,서울특별시,성동구,용답동,성동구_용답동
답십리,5호선,서울특별시,성동구,용답동,성동구_용답동
장한평,5호선,서울특별시,성동구,용답동,성동구_용답동
응봉,경원선,서울특별시,성동구,응봉동,성동구_응봉동
상왕십리,2호선,서울특별시,성동구,하왕십리동,성동구_하왕십리동
왕십리(성동구청),2호선,서울특별시,성동구,행당동,성동구_행당동
한양대,2호선,서울특별시,성동구,행당동,성동구_행당동
왕십리(성동구청),5호선,서울특별시,성동구,행당동,성동구_행당동
행당,5호선,서울특별시,성동구,행당동,성동구_행당동
왕십리(성동구청),경원선,서울특별시,성동구,행당동,성동구_행당동
길음,4호선,서울특별시,성북구,길음동,성북구_길음동
성신여대입구(돈암),4호선,서울특별시,성북구,동소문동5가,성북구_동소문동5가
성신여대입구(돈암),우이신설선,서울특별시,성북구,동소문동5가,성북구_동소문동5가
보문,6호선,서울특별시,성북구,보문동2가,성북구_보문동2가
보문,우이신설선,서울특별시,성북구,보문동2가,성북구_보문동2가
한성대입구(삼선교),4호선,서울특별시,성북구,삼선동1가,성북구_삼선동1가
상월곡(한국과학기술연구원),6호선,서울특별시,성북구,상월곡동,성북구_상월곡동
석계,6호선,서울특별시,성북구,석관동,성북구_석관동
석계,경원선,서울특별시,성북구,석관동,성북구_석관동
안암(고대병원앞),6호선,서울특별시,성북구,안암동5가,성북구_안암동5가
돌곶이,6호선,서울특별시,성북구,장위동,성북구_장위동
북한산보국문,우이신설선,서울특별시,성북구,정릉동,성북구_정릉동
정릉,우이신설선,서울특별시,성북구,정릉동,성북구_정릉동
월곡(동덕여대),6호선,서울특별시,성북구,하월곡동,성북구_하월곡동
가락시장,3호선,서울특별시,송파구,가락동,송파구_가락동
경찰병원,3호선,서울특별시,송파구,가락동,송파구_가락동
개롱,5호선,서울특별시,송파구,가락동,송파구_가락동
오금,5호선,서울특별시,송파구,가락동,송파구_가락동
가락시장,8호선,서울특별시,송파구,가락동,송파구_가락동
송파,8호선,서울특별시,송파구,가락동,송파구_가락동
거여,5호선,서울특별시,송파구,거여동,송파구_거여동
마천,5호선,서울특별시,송파구,마천동,송파구_마천동
문정,8호선,서울특별시,송파구,문정동,송파구_문정동
방이,5호선,서울특별시,송파구,방이동,송파구_방이동
올림픽공원(한국체대),5호선,서울특별시,송파구,방이동,송파구_방이동
송파나루,9호선(연장),서울특별시,송파구,방이동,송파구_방이동
올림픽공원(한국체대),9호선(연장),서울특별시,송파구,방이동,송파구_방이동
한성백제,9호선(연장),서울특별시,송파구,방이동,송파구_방이동
석촌,8호선,서울특별시,송파구,석촌동,송파구_석촌동
석촌,9호선(연장),서울특별시,송파구,석촌동,송파구_석촌동
석촌고분,9호선(연장),서울특별시,송파구,석촌동,송파구_석촌동
잠실(송파구청),2호선,서울특별시,송파구,신천동,송파구_신천동
잠실나루,2호선,서울특별시,송파구,신천동,송파구_신천동
몽촌토성(평화의문),8호선,서울특별시,송파구,신천동,송파구_신천동
잠실(송파구청),8호선,서울특별시,송파구,신천동,송파구_신천동
오금,3호선,서울특별시,송파구,오금동,송파구_오금동
