"자치구","경제활동별","구분","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"서대문구","도매 및 소매업","중간소비(②)","항목","","588892.1819","606142.9136","638204.1701","686000.9703","736523.1961","712248","711993","730107.883505","799649",
"서대문구","도매 및 소매업","지역내 총부가가치(③=①-②)","항목","","712001.4441","703438.5208","713508.3051","764366.801","800487.0978","763395","751242","733241.515042","753877",
"서대문구","도매 및 소매업","고정자본소모(④)","항목","","38574.02202","40085.74334","44743.15846","47367.02345","50134.52733","50121","51390","54358.929862","58636",
"서대문구","도매 및 소매업","순기타 생산세(⑤)","항목","","4084.48024","4975.933517","4993.473674","7125.114473","7410.150241","6127","6994","6859.961568","8123",
"서대문구","도매 및 소매업","지역내 요소소득(⑥=③-④-⑤)","항목","","669342.9419","658376.844","663771.6729","709874.663","742942.4202","707147","692857","672022.623612","687118",
"서대문구","도매 및 소매업","산출액(2015년 기준년 연쇄가격)","항목","","1301912.252","1312387.324","1351712.475","1419551.483","1484248.946","1425829","1435092","1447600.929187","1502997",
"서대문구","도매 및 소매업","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","695567.6111","703016.4293","713508.3051","750272.5971","773703.9437","739968","745169","742827.760059","750369",
"서대문구","운수 및 창고업","산출액(①)","항목","","216267.2819","214370.373","227886.4848","277856.1542","299004.8905","295278","306719","301277.596373","313834",
"서대문구","운수 및 창고업","중간소비(②)","항목","","118662.1333","111656.8013","112139.2832","140004.0325","157417.5429","159903","161881","168526.267432","183488",
"서대문구","운수 및 창고업","지역내 총부가가치(③=①-②)","항목","","97605.14852","102713.5716","115747.2016","137852.1216","141587.3476","135375","144838","132751.328941","130346",
"서대문구","운수 및 창고업","고정자본소모(④)","항목","","32633.62319","33745.14717","37803.78315","41944.32027","45950.83157","44287","49088","49669.186763","53222",
"서대문구","운수 및 창고업","순기타 생산세(⑤)","항목","","544.2985722","647.9797895","782.2218687","936.4098652","1115.206415","754","1104","893.53542","960",
"서대문구","운수 및 창고업","지역내 요소소득(⑥=③-④-⑤)","항목","","64427.22675","68320.44468","77161.19656","94971.3915","94521.30962","90334","94646","82188.606758","76164",
"서대문구","운수 및 창고업","산출액(2015년 기준년 연쇄가격)","항목","","223655.4105","218254.0557","227886.4848","274086.324","294024.2024","290197","292206","284913.425581","288062",
